example_id,rank,title,score
5a8b57f25542995d1e6f1371,1,Ed Wood (film),0.4941336214542389
5a8b57f25542995d1e6f1371,2,Ed Wood,0.4863414764404297
5a8b57f25542995d1e6f1371,3,John Scott (ice hockey),0.42296627163887024
5a8b57f25542995d1e6f1371,4,Calvin Tyler Scott,0.3905677795410156
5a8b57f25542995d1e6f1371,5,John Ince (actor),0.36272597312927246
5a8b57f25542995d1e6f1371,6,Scott Parkin,0.3608782887458801
5a8b57f25542995d1e6f1371,7,Scott Young (American football),0.36019808053970337
5a8b57f25542995d1e6f1371,8,Ian Harland,0.3581225574016571
5a8b57f25542995d1e6f1371,9,Ralph Ince,0.3562179207801819
5a8b57f25542995d1e6f1371,10,James Packer,0.35563525557518005
5a8b57f25542995d1e6f1371,11,Thomas H. Ince,0.3542218804359436
5a8b57f25542995d1e6f1371,12,Woodville High School (Texas),0.3386024832725525
5a8b57f25542995d1e6f1371,13,Scott Sidney,0.3354416787624359
5a8b57f25542995d1e6f1371,14,Randall Cunningham,0.32563403248786926
5a8b57f25542995d1e6f1371,15,Donald Duffy,0.32432684302330017
5a8b57f25542995d1e6f1371,16,Adam Collis,0.3238610029220581
5a8b57f25542995d1e6f1371,17,"George I, Earl of March",0.31907641887664795
5a8b57f25542995d1e6f1371,18,Boss Bailey,0.31515011191368103
5a8b57f25542995d1e6f1371,19,Grant Smith (footballer),0.3151141107082367
5a8b57f25542995d1e6f1371,20,"Woodson, Arkansas",0.3140755593776703
5a8b57f25542995d1e6f1371,21,E. J. Carroll,0.313162624835968
5a8b57f25542995d1e6f1371,22,Ricky Proehl,0.31303170323371887
5a8b57f25542995d1e6f1371,23,Michael Atkinson,0.31287720799446106
5a8b57f25542995d1e6f1371,24,Tyler Kalinoski,0.31275972723960876
5a8b57f25542995d1e6f1371,25,Mat Dan,0.312137246131897
5a8b57f25542995d1e6f1371,26,Robert Barton,0.31164708733558655
5a8b57f25542995d1e6f1371,27,Brian Kennedy (singer),0.3110429644584656
5a8b57f25542995d1e6f1371,28,Ambrose Mendy,0.31065866351127625
5a8b57f25542995d1e6f1371,29,Danny Jones,0.310607373714447
5a8b57f25542995d1e6f1371,30,Jonathan Wolfson,0.31017616391181946
5a8b57f25542995d1e6f1371,31,Scott Sandelin,0.30817681550979614
5a8b57f25542995d1e6f1371,32,Jack Truelove,0.30637243390083313
5a8b57f25542995d1e6f1371,33,Anthony Woodson,0.3050423562526703
5a8b57f25542995d1e6f1371,34,Jonathan Toews,0.3044426143169403
5a8b57f25542995d1e6f1371,35,Kevin Lockett,0.3031861186027527
5a8b57f25542995d1e6f1371,36,Jeffrey Stanley,0.30163824558258057
5a8b57f25542995d1e6f1371,37,Adam Thielen,0.2994216978549957
5a8b57f25542995d1e6f1371,38,Bob Young (American football),0.2987916171550751
5a8b57f25542995d1e6f1371,39,Daniel House,0.2977138161659241
5a8b57f25542995d1e6f1371,40,Henry Hall (American revolution),0.2971447706222534
5a8b57f25542995d1e6f1371,41,Mike Smith (A&amp;R man),0.2961603105068207
5a8b57f25542995d1e6f1371,42,Conrad Brooks,0.2954672873020172
5a8b57f25542995d1e6f1371,43,Daryl Hall,0.2951085865497589
5a8b57f25542995d1e6f1371,44,Charles Teague (baseball),0.29506081342697144
5a8b57f25542995d1e6f1371,45,Sam Long,0.29469096660614014
5a8b57f25542995d1e6f1371,46,Sold (TV series),0.29446232318878174
5a8b57f25542995d1e6f1371,47,Thomas Hylland Eriksen,0.2942907214164734
5a8b57f25542995d1e6f1371,48,Mike Edwards (basketball),0.29426291584968567
5a8b57f25542995d1e6f1371,49,Kevin Garnett,0.29333364963531494
5a8b57f25542995d1e6f1371,50,Guy Randall-Johnson,0.2906891703605652
5a8c7595554299585d9e36b6,1,Kiss and Tell (1945 film),0.7005314230918884
5a8c7595554299585d9e36b6,2,A Kiss for Corliss,0.5778291821479797
5a8c7595554299585d9e36b6,3,Meet Corliss Archer (TV series),0.5505293607711792
5a8c7595554299585d9e36b6,4,Araby Lockhart,0.4040305018424988
5a8c7595554299585d9e36b6,5,Janet Waldo,0.4024806618690491
5a8c7595554299585d9e36b6,6,Pamela B. Green,0.3649771809577942
5a8c7595554299585d9e36b6,7,Mamie Gummer,0.3613429665565491
5a8c7595554299585d9e36b6,8,Emily Jewell,0.35928815603256226
5a8c7595554299585d9e36b6,9,Sara Botsford,0.3584042489528656
5a8c7595554299585d9e36b6,10,Doddanna,0.3501622676849365
5a8c7595554299585d9e36b6,11,Lisa Wilcox,0.34211596846580505
5a8c7595554299585d9e36b6,12,Katherine Waterston,0.3361310064792633
5a8c7595554299585d9e36b6,13,Connie Sawyer,0.3350573182106018
5a8c7595554299585d9e36b6,14,Yvonne Ridley,0.32662948966026306
5a8c7595554299585d9e36b6,15,Burt Gummer,0.3185840845108032
5a8c7595554299585d9e36b6,16,Ankahee (2006 film),0.3185722231864929
5a8c7595554299585d9e36b6,17,Chrisann Brennan,0.3180837035179138
5a8c7595554299585d9e36b6,18,Lucy Fry,0.310407429933548
5a8c7595554299585d9e36b6,19,Shirley Temple,0.3102886378765106
5a8c7595554299585d9e36b6,20,The Card (1952 film),0.30838680267333984
