run_id,example_id,retriever,question_type,assigned_reviewer,is_overlap
2026-07-17_a,5a79b7f6554299029c4b5f6f,bm25,bridge,xin,false
2026-07-17_a,5a7c9f325542990527d554e6,bm25,bridge,jiajun,false
2026-07-17_a,5a7d61775542991319bc93b9,bm25,bridge,jiajun,true
2026-07-17_a,5a7d61775542991319bc93b9,bm25,bridge,xin,true
2026-07-17_a,5a83880e554299123d8c214e,bm25,bridge,xin,false
2026-07-17_a,5a83a532554299334474606f,bm25,bridge,jiajun,false
2026-07-17_a,5abcc96c5542996583600492,bm25,bridge,xin,false
2026-07-17_a,5ac1a3665542994ab5c67daf,bm25,bridge,jiajun,false
2026-07-17_a,5adc8977554299438c868de2,bm25,bridge,xin,false
2026-07-17_a,5ade42b55542992fa25da717,bm25,bridge,jiajun,false
2026-07-17_a,5adf58f15542993a75d264d2,bm25,bridge,xin,false
2026-07-17_a,5ae057fd55429945ae959328,bm25,bridge,jiajun,false
2026-07-17_a,5ae60426554299546bf83019,bm25,bridge,xin,false
2026-07-17_a,5a78b209554299148911f93e,bm25,comparison,jiajun,true
2026-07-17_a,5a78b209554299148911f93e,bm25,comparison,xin,true
2026-07-17_a,5ab72a025542992aa3b8c7b8,bm25,comparison,jiajun,false
2026-07-17_a,5ab8f57b5542991b5579f097,bm25,comparison,xin,false
2026-07-17_a,5a7d19d85542995ed0d165e8,dense,bridge,jiajun,false
2026-07-17_a,5a81ebee554299676cceb16d,dense,bridge,xin,false
2026-07-17_a,5a83aaeb5542996488c2e483,dense,bridge,jiajun,true
2026-07-17_a,5a83aaeb5542996488c2e483,dense,bridge,xin,true
2026-07-17_a,5a85cead5542991dd0999ea9,dense,bridge,jiajun,false
2026-07-17_a,5ab48c325542996a3a969f93,dense,bridge,xin,false
2026-07-17_a,5ab978855542996be2020512,dense,bridge,jiajun,false
2026-07-17_a,5add67915542992200553af8,dense,bridge,xin,false
2026-07-17_a,5ade69e455429975fa854ec5,dense,bridge,jiajun,false
2026-07-17_a,5ae048a255429924de1b708e,dense,bridge,xin,false
2026-07-17_a,5ae0a59a55429945ae9593e2,dense,bridge,jiajun,false
2026-07-17_a,5ae1801955429901ffe4aec4,dense,bridge,xin,false
2026-07-17_a,5ae1f596554299234fd04372,dense,bridge,jiajun,false
2026-07-17_a,5a76387d554299109176e6ba,dense,comparison,jiajun,true
2026-07-17_a,5a76387d554299109176e6ba,dense,comparison,xin,true
2026-07-17_a,5a78b209554299148911f93e,dense,comparison,xin,false
2026-07-17_a,5a8d93ad554299653c1aa13d,dense,comparison,jiajun,false
